state_student_id,student_id,first_name,last_name,school_year,grade_level,entry_date,exit_date,exit_code,enrollment_status
CA0001010,1010,Liam,Davis,2025-2026,9,2025-08-12,,,Active
CA0001006,1006,Daniel,Garcia,2025-2026,9,2025-08-12,2025-11-03,,Inactive
CA0001001,1001,Ana,Lopez,2025-2026,9,2025-08-12,,,Active
CA0001007,1007,Maya,Johnson,2025-2026,10,2025-08-12,,,Active
CA0001007,1007,Maya,Johnson,2025-2026,10,2025-08-12,,,Active
CA0001002,1002,Marcus,Reed,2025-2026,10,2025-08-12,,,Active
CA0001011,1011,Emma,Wilson,2025-2026,10,2025-08-12,,,Active
CA0001012,1012,Jose,Hernandez,2025-2026,11,2025-08-12,,,Active
CA0001003,1003,Sofia,Martinez,2025-2026,11,2025-08-12,,,Active
CA0001008,1008,Noah,Patel,2025-2026,11,2025-08-12,,,Active
CA0001009,1009,Olivia,Brown,2025-2026,12,2025-08-12,2026-01-15,T160,Inactive
CA0001004,1004,Ethan,Kim,2025-2026,12,2025-08-12,,,Active
CA0001014,1014,William,Moore,2025-2026,12,2025-08-12,,,Active
CA0001005,1005,Isabella,Nguyen,2025-2026,12,2025-08-12,,,Active
CA0001015,1015,Mia,Taylor,2025-2026,12,2025-08-12,,,Active
CA0001013,1013,Ava,Thomas,2025-2026,12,2025-08-12,,,Active
,,,,2025-2026,13,2025-09-01,,,Active
